"index_road","node_id"
"[11314726L, 11314728L]",100644008
"[11314654L, 11314728L]",100643449
"[11314653L, 11314752L]",100644359
"[11314752L, 11314757L]",100644360
"[11314752L, 11314757L]",100644360
"[11314699L, 11314757L]",100643783
"[11314653L, 11314772L]",100638708
"[11314772L]",100639971
"[11314728L, 11314786L]",100641535
"[11314274L, 11314786L]",100642175
"[11314527L, 11314804L]",100638712
"[11314804L]",100638715
"[11315181L, 22801741L, 31098951L]",35722737
"[8861258L, 9701897L, 11315181L]",64382848
"[11315259L, 22801741L]",100650112
"[5168718L, 11315259L, 11315299L]",33399858
"[5168718L, 11315259L, 11315299L]",33399858
"[11315299L, 11315378L, 122923050L]",36704818
"[11315299L, 11315378L, 122923050L]",36704818
"[11315378L, 22758837L, 103255996L]",129899686
"[11315467L, 78732996L]",330837750
"[9852987L, 9853022L, 11315478L]",35551808
"[11313842L, 11315578L, 33616161L]",100653373
"[11315467L, 11315578L]",100653852
"[11315578L, 11315602L]",100653851
"[11315378L, 11315602L, 24476233L]",100653987
"[11315886L]",100658357
"[11314274L, 11315917L]",100639061
"[11314804L, 11315917L]",100638714
"[13432856L, 47519129L]",72864052
"[13432856L, 22787998L, 48015854L]",72864050
"[13433115L, 22799249L, 127467611L]",124171932
"[13433115L, 114637119L]",124174677
"[13513718L, 33612724L]",245112285
"[13513718L, 127703649L]",1412827615
"[4484478L, 13513915L]",27485058
"[4263917L, 13513915L]",1298058596
"[13514983L, 33617042L, 42725520L]",245120989
"[13514983L, 33617056L, 60500682L]",330588556
"[8860940L, 13739155L]",127225074
"[13739155L, 122923050L]",262259959
"[8860940L, 13739241L]",127226290
"[13739241L, 122923050L]",127226581
"[13739271L, 122923050L]",127227174
"[8860940L, 13739271L]",35554063
"[9701974L, 11313416L, 13739568L]",100631017
"[13739568L, 13739604L, 42502210L]",127235019
"[13739568L, 13739604L, 42502210L]",127235019
"[5090644L, 13739604L, 23426606L]",35552056
"[13740481L]",31204708
"[4845097L, 13740481L]",31204821
"[4845093L, 13740562L]",31204691
"[4845097L, 13740562L]",31205098
"[13740601L, 33638945L, 60051359L]",31204709
"[13740750L, 60064575L]",127264355
"[13740750L, 29257663L]",321760332
"[13740770L, 24399560L, 29257601L]",127265129
"[4928045L, 13740770L, 25091600L, 25091622L]",32388119
"[14347213L, 22800108L]",139149043
"[14347213L, 96149809L]",1114079310
"[16266618L, 22800041L]",321855434
"[16266618L, 29257863L, 60051366L, 60065805L, 60500064L]",165738530
"[16266620L, 22800036L, 23383764L, 30186348L, 34150653L]",245138078
"[16266620L, 72631490L]",862164756
"[16266634L, 32920678L, 32920748L]",165738461
"[16266634L, 33869069L, 33869095L]",165738419
"[9701849L, 16266658L, 60051360L, 120495329L, 129622317L]",76456803
"[16266634L, 16266658L]",165738477
"[16266662L, 35028005L, 60550517L, 60550519L, 121510825L]",370793703
"[16266662L, 54669607L]",687148887
"[16266664L, 16266666L, 72631490L]",165738486
"[16266664L, 84718475L]",353120497
"[16266666L]",353123490
"[16266664L, 16266666L, 72631490L]",165738486
"[16266666L, 16266667L]",165738498
"[16266667L, 16266668L]",165738505
"[16266634L, 16266668L]",165738506
"[16266658L, 16266668L]",165738508
"[16266668L, 16266669L]",165738509
"[16266668L, 16266669L]",165738512
"[16266676L, 60051366L]",165738535
"[16266676L, 60500064L]",165738542
"[16266680L, 16266683L]",165738547
"[16266680L, 16266683L]",165738547
"[16266680L, 16266682L]",165738544
"[16266682L, 54669607L, 84718463L]",687149003
"[16266683L, 72631490L]",165738235
"[16266736L]",165738852
"[21654620L, 42400052L, 121980930L, 121980931L]",529363499
"[21654620L, 22759931L]",1350327437
"[21691070L, 27081674L]",244467891
"[21691070L, 26679374L]",244467892
"[21691079L, 26679342L, 26679350L]",292591115
"[21691079L, 121100409L, 121510224L]",1360087413
"[22036897L, 121782624L, 127843742L, 128490599L]",245104009
"[22036897L, 33611941L, 33613425L]",322121389
"[22067155L, 101765108L, 119980739L]",1346457313
"[22067155L, 55885676L, 55885680L]",701735524
"[22067160L, 42746503L, 119980744L]",528763537
"[22067160L, 33638265L, 121399177L, 121399189L]",384324630
"[22067184L, 116920072L]",237538987
"[22067184L, 29235318L]",237538952
"[22067192L, 138674216L]",1520697057
"[22067192L, 27083787L, 27083795L, 128620785L]",297146895
"[22069891L, 23426778L, 25686353L, 128686715L]",239453042
"[22069891L, 33455540L, 128753744L]",380721367
"[22072334L, 128686401L]",237585373
"[22072334L, 26679311L]",292590743
"[22074614L, 50634295L]",534543291
"[22074614L, 26428333L]",289557381
"[22270614L, 121399160L]",237546554
"[22270614L, 29235352L]",239434611
"[22270615L, 23717674L]",253127018
"[22270615L, 47519131L]",605041267
"[22270616L, 116920056L]",1317051523
"[22270616L, 42353183L]",528767281
"[22371064L, 77305477L, 122090116L]",981019169
"[22371064L, 139339324L]",1527880401
"[22758728L, 121100441L]",237537228
"[22758728L, 121100428L]",529504685
"[8867282L, 22758736L, 42655192L]",27486094
"[22758736L, 121100441L]",1356404848
"[22758748L, 29277061L, 128009715L]",252852269
"[22758748L, 24399529L, 109497803L]",237536317
"[22758837L, 30484503L]",336383660
"[22758837L, 96149456L]",336376778
"[22758845L, 104129602L]",262774374
"[22758845L, 33681269L]",1300406543
"[21654620L, 22759931L]",1350327437
"[22759931L, 22759942L]",244274018
"[22759942L]",244274012
"[22759942L]",244274012
"[22759942L, 22759944L]",244274017
"[22759944L, 121980931L]",1364078566
"[22759942L, 22759947L]",244274024
"[22759947L, 22759955L, 22760069L]",244274432
"[22759947L, 22759955L, 22760069L]",244274432
"[22759942L, 22759955L]",244274025
"[22759942L, 22760001L]",244274021
"[22760001L, 121399473L]",1359329377
"[22760069L, 22801744L]",529510948
"[22770846L]",1414025820
"[22770846L, 127843726L, 127843737L]",330841132
"[22771782L, 22771826L, 42746560L]",239434324
"[22771782L, 58641455L, 60065806L]",726587488
"[22771791L, 47519133L]",72855769
"[22771791L, 24447647L]",35855550
"[5212458L, 22771807L]",35855292
"[22771807L, 24447635L]",244466871
"[22771782L, 22771826L, 42746560L]",239434324
"[22771826L, 42746580L]",534546310
"[22771829L, 30880156L]",385027504
"[22771829L, 42746576L]",385027514
"[22771867L, 42943243L, 122020348L]",1195735433
"[22771867L, 121981775L, 121981776L]",312477914
"[22771897L, 26679374L]",244467919
"[22771897L]",244467992
"[22771900L]",244467987
"[22771900L, 136867413L]",233763298
"[22771923L, 26812139L]",237535022
"[22771923L, 42655192L]",1350996025
"[22787992L, 22788765L]",72863082
"[22787992L, 105149568L]",72855711
"[13432856L, 22787998L, 48015854L]",72864050
"[22787998L, 22788765L]",1211831774
"[22788099L, 22788102L, 22788119L]",244882739
"[22788099L, 119314174L]",244882741
"[22788099L, 22788102L, 22788119L]",244882739
"[22788102L, 22788156L, 42502210L, 60121468L]",127235022
"[22788119L, 42502293L, 134699920L]",1480544803
"[9746850L, 22788124L]",1351023245
"[22788124L, 120497110L, 127714569L]",321856458
"[22788135L, 29268483L]",245141204
"[22788135L, 60110696L]",244883315
"[22788102L, 22788156L, 42502210L, 60121468L]",127235022
"[22788156L, 122923046L]",1372013045
"[9701974L, 22788182L]",746964340
"[9747026L, 22788182L]",401367089
"[22788192L, 22800080L]",244883888
"[22788192L, 42502293L]",530749816
"[9746850L, 22788195L, 42502293L, 121062240L]",1351023247
"[22788135L, 22788195L]",244883905
"[22788214L, 30212697L]",332949610
"[22788214L, 30042679L, 31098818L]",345589085
"[22788324L, 31098768L, 31098818L, 31098951L]",35722654
"[22788398L]",244886270
"[22788398L, 22788400L, 127156340L]",244886274
"[22788398L, 22788400L, 127156340L]",244886274
"[22788400L, 115499697L]",606845874
"[22788434L, 22788435L]",244886734
"[22788434L, 127156340L]",244886735
"[22788434L, 22788435L]",244886734
"[22788435L]",244886737
"[22788454L, 42712338L, 42746691L]",244886940
"[22788454L, 22788504L]",244887798
"[22788459L, 22788504L]",244887797
"[22788459L, 24691240L]",244886994
"[22788463L, 22788504L]",244887819
"[22788463L, 23383674L, 29261934L]",244887119
"[22788490L, 22788507L]",244887598
"[22788490L]",244887600
"[22788463L, 22788504L]",244887819
"[22788507L]",244887883
"[22788507L]",244887891
"[22788507L, 22788515L]",244887966
"[22788454L, 22788515L]",244887974
"[22788522L, 22788539L]",244888024
"[22788522L, 22788526L]",244888025
"[9701897L, 22788526L]",244888070
"[22788522L, 22788539L]",244888024
"[5158564L, 22788539L]",35555615
"[5158564L, 22788597L]",35555619
"[5212286L, 22788597L, 40120137L]",244888915
"[5135897L, 9590427L, 22788621L]",35555077
"[22788621L, 22788631L, 22800864L, 22800935L]",244889124
"[22788621L, 22788624L]",244889123
"[9701897L, 22788624L]",244889165
"[22788621L, 22788631L, 22800864L, 22800935L]",244889124
"[9701897L, 22788631L]",244889331
"[22787998L, 22788765L]",1211831774
"[22787992L, 22788765L]",72863082
"[22787998L, 22788779L]",72864045
"[22788779L, 105145932L]",244891778
"[22797936L, 33613429L, 33613455L]",237271758
"[22797936L, 29309165L]",245104730
"[22797943L, 26403781L]",245104822
"[22797943L, 27031247L]",296298313
"[22797946L, 27031247L]",296298314
"[22797946L, 26403781L]",245104828
"[22797955L, 22797957L, 28947763L, 105063687L, 127464697L]",245105858
"[22797955L, 42371203L, 42371243L]",245107640
"[22797955L, 22797957L, 28947763L, 105063687L, 127464697L]",245105858
"[22797957L, 22797962L]",245106356
