"id","ways_index"
26119404,"[26119398L, 26119400L, 25419724L, 26119402L, 26064139L, 26119406L, 26119408L]"
26119406,"[26119404L]"
26119408,"[26119404L, 71498399L]"
26131286,"[26131288L, 26131290L, 25419724L]"
26131288,"[26131286L]"
26131290,"[26131286L]"
26131291,"[26131292L, 25419724L, 26131293L, 25004597L]"
26131292,"[26131291L]"
26131293,"[26131291L]"
26139094,"[25004600L, 25004601L, 25051225L, 26139095L]"
26139095,"[25429571L, 25429565L, 26139094L]"
26139096,"[25004604L]"
26139097,"[25004609L, 26139106L, 25004611L, 26139108L, 26139109L, 26139105L, 26139113L, 26139114L, 26139111L, 49199956L, 26139099L, 44774845L, 26139102L, 44774853L]"
26139099,"[26139097L]"
26139102,"[26139097L]"
26139105,"[26139097L]"
26139106,"[26139097L]"
26139108,"[26139097L]"
26139109,"[26139097L]"
26139111,"[26139097L]"
26139113,"[26139097L]"
26139114,"[25004612L, 26139124L, 26139125L, 49199956L, 26139097L, 44774845L]"
26139124,"[26139114L]"
26139125,"[26139114L]"
26139126,"[25004617L]"
26139127,"[25004612L]"
26139133,"[25004612L]"
26139135,"[25004612L]"
26139137,"[25004612L]"
26139139,"[25004612L]"
26139141,"[25004612L]"
26139143,"[25004612L]"
26139145,"[25004612L]"
26139150,"[26139151L]"
26139151,"[26139152L, 26139150L]"
26139152,"[26954114L, 58093667L, 58093676L, 26139151L, 26139153L, 26139154L, 26139155L]"
26139153,"[26954114L, 47738609L, 26139152L, 26139155L, 26954166L]"
26139154,"[26139152L]"
26139155,"[26954114L, 58093676L, 26954125L, 26139152L, 26139153L, 26139156L]"
26139156,"[26139155L, 26139157L, 26954125L]"
26139157,"[50634275L, 26927980L, 26954125L, 26139156L, 26139158L, 42489561L, 50634265L]"
26139158,"[26428320L, 26139157L]"
26139159,"[139542976L, 26388418L, 26328069L, 22800007L, 25214184L, 26330071L, 25895952L, 139542961L, 26141493L, 26330072L, 26139161L, 25213434L, 25213435L, 26139162L, 25214181L]"
26139161,"[50625377L, 128620739L, 25214181L, 25214184L, 27083794L, 128620789L, 26139159L, 27209722L, 27209724L, 50625375L]"
26139162,"[127635194L, 25214181L, 26139159L]"
26141455,"[128013680L, 25874569L]"
26141457,"[26141472L, 128013680L, 40745170L, 26141460L, 42346520L, 139542970L, 127635197L]"
26141459,"[26141464L]"
26141460,"[26141457L, 26545832L, 26141464L, 26141470L, 26545784L, 26152124L, 47795486L, 26239551L]"
26141464,"[26141466L, 26141459L, 26141460L, 26545790L]"
26141466,"[26141464L, 26141468L, 26545790L]"
26141468,"[26545784L, 26141466L, 26545787L, 26141470L, 26239551L]"
26141470,"[26141460L, 26141468L]"
26141472,"[128399680L, 26141475L, 26141480L, 47795498L, 128398092L, 26141457L, 127693578L]"
26141475,"[26141472L, 26141478L, 127693621L, 42346520L, 139542970L, 48044603L]"
26141478,"[26141475L, 42346343L, 25874569L, 26141479L, 139542970L]"
26141479,"[26141478L, 42346343L, 26141480L, 25874569L, 139542970L]"
26141480,"[26141472L, 26141479L, 127693621L, 42346520L, 139542970L, 48044603L]"
26141486,"[25874569L, 26141490L]"
26141490,"[25874569L, 26141486L, 42346289L, 42346420L, 114735726L, 42365239L, 42346325L]"
26141493,"[22800007L, 26328069L, 26141494L, 26139159L]"
26141494,"[26141493L, 22800007L]"
26152112,"[26330049L, 26152115L, 26152126L, 26388406L]"
26152115,"[26152112L, 26239781L, 26330049L, 26239788L, 26239695L, 26239792L, 26152118L, 26152119L, 27083835L, 26388406L, 26152127L]"
26152118,"[26152131L, 26328086L, 26152135L, 26152137L, 26240718L, 26239727L, 26152115L, 26328078L, 26240760L, 26545785L, 26152124L]"
